date,volumeUSD,feesUSD,tvlUSD
2023-07-27,3064557.3184820577,9193.671955446172,70947530.40189366
2023-07-28,1277138.1541229687,3831.414462368906,71336383.30469495
2023-07-29,445720.32290966745,1337.1609687290024,71224986.68788832
2023-07-30,786326.0724498981,2358.9782173496947,70888372.86270848
2023-07-31,1996645.5111417486,5989.936533425245,70763941.30631442
2023-08-01,4192971.197568744,12578.913592706233,71085578.66911845
2023-08-02,4077364.4406721527,12232.093322016459,72439727.61919864
2023-08-03,1698179.6470904439,5094.538941271331,72688343.52836289
2023-08-04,2897079.223893118,8691.237671679353,78479544.15703015
2023-08-05,86998.49362643753,260.9954808793126,78565512.73671341
2023-08-06,226516.6075472309,679.5498226416927,78534396.80099586
2023-08-07,2513963.336574372,7541.890009723116,78681411.31114848
2023-08-08,5123660.872148128,15370.982616444384,74335835.04025075
2023-08-09,3828028.610079168,11484.085830237504,74505265.08564374
2023-08-10,1220229.886039505,3660.689658118515,74441221.89128153
2023-08-11,429964.80517083354,1289.8944155125007,74178158.5806458
2023-08-12,57378.95811354186,172.1368743406256,74167451.89876235
2023-08-13,128863.96603371818,386.5918981011545,73970803.88982128
2023-08-14,2757353.424427753,8272.060273283258,74006898.91622601
2023-08-15,1511871.5400380958,4535.614620114287,73628895.07310486
2023-08-16,1516913.0387287994,4550.739116186399,73229403.3644605
2023-08-17,29490116.75316835,88470.35025950505,68876966.37314731
2023-08-18,8728569.152289225,26185.707456867676,68592227.11162119
2023-08-19,2132578.3826451176,6397.735147935353,68424437.31564038
2023-08-20,738261.4505166126,2214.7843515498375,68505043.17960183
2023-08-21,3134658.6140625146,9403.975842187543,68213893.73422533
2023-08-22,3035370.6864754306,9106.112059426292,68073652.71443973
2023-08-23,5797623.595333766,17392.8707860013,68465048.14336479
2023-08-24,1741909.2275008247,5225.727682502475,68275648.63699034
2023-08-25,2321483.7520304956,6964.451256091486,69043119.78057742
2023-08-26,68848.1785717086,206.5445357151258,69115163.6923293
2023-08-27,177940.12001663,533.82036004989,69239682.50485641
2023-08-28,1947109.9686526319,5841.329905957896,68953824.89535004
2023-08-29,13734518.88626021,41203.55665878063,70259938.0877435
2023-08-30,2326594.243579843,6979.78273073953,69019911.72853923
2023-08-31,5756776.123170046,17270.328369510138,67237012.339782
2023-09-01,3113009.0994547587,9339.027298364275,69339046.92882675
2023-09-02,386717.6546472178,1160.1529639416533,68957788.2749433
2023-09-03,1230119.9838084572,3690.359951425372,69029756.62342364
2023-09-04,1339538.0163443575,4018.6140490330727,68693040.63258022
2023-09-05,666558.2660998974,1999.6747982996924,68613558.96611762
2023-09-06,2388110.357685321,7164.331073055962,68488524.83631194
