market_instance,dyn_net_return,stat_net_return,return_improvement,dyn_total_revenue,stat_total_revenue,revenue_improvement,dyn_avg_fee,stat_avg_fee,dyn_fee_volatility,dyn_avg_volume,stat_avg_volume,volume_ratio_dyn,volume_ratio_stat
41,0.3508306902685245,0.35278314814237643,-0.0019524578738519538,2212.3412121569977,6117.381013980314,-3905.039801823316,0.00017395547815722014,0.0005,8.759855542130478e-05,18.26209439197553,16.78693086136299,7.667865772199134e-06,7.052440362816719e-06
42,-0.43692801522859304,-0.43587183159469917,-0.0010561836338938702,1638.4151875554446,3750.5570781050737,-2112.1418905496294,0.00021476122512168795,0.0005,0.0001221327798498922,31.51645327922575,29.302101774106568,2.3855337535527172e-05,2.224393396764439e-05
43,-0.13581685150367104,-0.13467603520410135,-0.0011408162995696913,1850.044655489759,4131.818054043109,-2281.7733985533505,0.00022143548625751702,0.0005,0.00015641166567803206,26.828799624979347,24.898703490869348,1.7065054648094355e-05,1.583430252895469e-05
44,0.6094530462165736,0.6115682327768842,-0.0021151865603106224,2476.1848980133773,6706.017344560476,-4229.832446547099,0.0001869816795305969,0.0005,0.00014620850615186602,19.45315196808313,18.0299570680673,8.91876484408231e-06,8.298693972763646e-06
45,-0.09887863384513673,-0.09763055964767747,-0.001248074197459259,1983.3151097410814,4478.362294974755,-2495.0471852336736,0.00021479044248538727,0.0005,0.00013847712389218633,23.583686134837322,21.812780133861207,1.3368225538392414e-05,1.2368901948889981e-05
46,-0.2678804409949876,-0.266943295494695,-0.0009371455002926132,1832.955895915245,3707.2525886488847,-1874.2966927336397,0.00024191855233550533,0.0005,0.0001769783409984958,30.459387618481955,28.407906090101157,2.225086602107849e-05,2.0732097015776845e-05
47,-0.5680179716706252,-0.567512430223004,-0.0005055414476211606,2439.04033296063,3449.950668939243,-1010.9103359786127,0.00033252313287949494,0.0005,0.00028525742685663405,34.92105743191601,33.13648848192393,2.924967523018122e-05,2.7594803837083868e-05
48,0.2918933852503416,0.29291060054908136,-0.001017215298739771,3460.523574106894,5493.996538713873,-2033.4729646069786,0.0003231818921400411,0.0005,0.00037849759433684346,20.936763665593617,19.97553681543503,1.0278071535674457e-05,9.841020302624302e-06
49,-0.2995607226718891,-0.2985191897838268,-0.001041532888062302,1949.136988197109,4031.9884361399454,-2082.8514479428363,0.00023198235681582994,0.0005,0.00014346907923727727,26.484073343636613,24.679081657054528,1.6695054853997794e-05,1.5562114269111715e-05
50,0.3019745669251408,0.3035693293068856,-0.0015947623817448298,2100.426977688896,5290.72484490349,-3190.2978672145937,0.00019225441459705883,0.0005,0.00011097539866636953,23.13835705834985,21.42295140924751,1.2317141069672974e-05,1.1420548819997697e-05
51,0.2423390155210111,0.24424109692083415,-0.0019020813998230635,2520.9419114463485,6325.522936554373,-3804.5810251080243,0.00018813743657530632,0.0005,0.00013119982181963307,17.840942769074882,16.438983009333057,7.27017595314948e-06,6.705771359774128e-06
52,-0.3572243048881431,-0.3561842028671084,-0.0010401020210347167,2070.4997416621045,4151.068900043589,-2080.569158381484,0.00023609460000873075,0.0005,0.00015350715316691306,28.18719827830435,26.268146780698125,1.8640173389909853e-05,1.734796278061205e-05
53,-0.33174301130523093,-0.3306054298974036,-0.001137581407827326,1953.0945380335202,4228.190117629344,-2275.095579595824,0.00022762438574164693,0.0005,0.00017233525099932486,27.32513425394739,25.417237693603663,1.7868636264434808e-05,1.6638750158898835e-05
54,-0.49388142009508273,-0.4928449860996828,-0.0010364339953999324,1694.4320084134201,3767.74720458927,-2073.31519617585,0.00021470683055266397,0.0005,0.00012199768543898223,32.764472360302655,30.409349200387098,2.5638000509936437e-05,2.3769506013813427e-05
55,0.06013229503842792,0.06169987947533536,-0.0015675844369074377,2367.2965155836264,5502.098363222114,-3134.8018476384877,0.00021337687358777033,0.0005,0.00019670921042182974,24.228053794407987,22.632818190015566,1.2473992094381823e-05,1.1675210950065834e-05
56,-0.3899850318771389,-0.38875823730185616,-0.0012267945752827414,1713.4589435676357,4166.842543864304,-2453.3836002966686,0.0001933951189026918,0.0005,0.00010334116680734409,26.4918543893416,24.39712651547128,1.6564609887304016e-05,1.5255941192673061e-05
57,0.5318921051379154,0.5340101230368342,-0.002118017898918745,2515.0748056338707,6751.2803421404715,-4236.205536506601,0.0001799632759827125,0.0005,0.0001017559371055381,17.28812947565977,15.93878778010573,6.803569550557033e-06,6.280658695274001e-06
58,-0.27552471388519134,-0.2742756187780714,-0.0012490951071199574,2320.5165972258656,4818.698104977199,-2498.181507751334,0.00022708373003452038,0.0005,0.00015584764136141314,24.32200583528901,22.61853427904312,1.3521392710336026e-05,1.257739159095927e-05
59,-0.024904341921326238,-0.023186785959616305,-0.001717555961709933,2706.1351231276813,6141.561824035372,-3435.426700907691,0.00021847346468926169,0.0005,0.00013265731179840852,17.07829456112632,15.850491238938048,7.087146201815553e-06,6.596030425081917e-06
60,0.1957346543321428,0.19754691445390554,-0.0018122601217627488,2130.690346804251,5756.977585175233,-3626.287238370982,0.0001784215288274197,0.0005,0.00010938331419077596,19.850598390344242,18.247756793845163,9.04835444547147e-06,8.322459011089428e-06
61,-0.016796576376621263,-0.015072037702189177,-0.001724538674432086,2752.3654023950467,6201.253014279661,-3448.8876118846147,0.00021822347033873332,0.0005,0.00013769839172011713,17.457921424587934,16.201216607937234,7.2945801737851805e-06,6.779615353265081e-06
62,-0.6300966770549977,-0.6293662016002866,-0.0007304754547111658,1713.8388734556238,3174.876598727707,-1461.0377252720832,0.0002598396845808543,0.0005,0.00016530612408670352,38.0394543396518,35.64549900348237,3.744247048104733e-05,3.507176101885903e-05
63,-0.6133707221678896,-0.6134823872675007,0.00011166509961113569,3508.8312884330703,3285.268575788001,223.5627126450695,0.0005542143845802567,0.0005,0.0006083243155906024,36.292138172734596,35.80028708670617,3.381759119869079e-05,3.2931399105170354e-05
64,0.34766560702060934,0.34999489543388596,-0.00232928841327662,2513.266636481162,7172.256125988011,-4658.989489506849,0.00016728924329187115,0.0005,9.238617786002308e-05,16.3176464112082,14.970922413755426,6.077604924963267e-06,5.577487932666032e-06
65,0.14532514589130274,0.14682882739769457,-0.001503681506391824,1984.100045906374,4991.7843342317465,-3007.6842883253726,0.0001928119886743968,0.0005,0.00012395981778982076,22.341322506627677,20.59583615807994,1.167448604125732e-05,1.0766151216617947e-05
66,0.6987717796077403,0.7010471562052255,-0.0022753765974852236,2449.3722393899343,6999.966597722621,-4550.594358332687,0.00016561170795328527,0.0005,8.600248944950006e-05,16.538607198299292,15.127461911400736,6.6930379585954285e-06,6.127147040768911e-06
67,0.07065186646578205,0.07227158543951973,-0.00161971897373768,2578.937915796274,5818.068659515735,-3239.130743719461,0.00021300527813180632,0.0005,0.0001522478817114297,18.959136905109514,17.576271992743152,8.33842376118134e-06,7.737773267917936e-06
68,-0.4932651036235722,-0.4922818504884037,-0.0009832531351684493,1934.580912887362,3900.86000476337,-1966.279091876008,0.00024789914852805183,0.0005,0.0001603846145728257,27.530328339462493,25.795788575172065,1.8484740861380187e-05,1.7383946251700283e-05
69,-0.09357775347302306,-0.09188338220832357,-0.0016943712646994985,2654.232282061015,6043.041869876814,-3388.809587815799,0.00022580802511214024,0.0005,0.0001636317286779078,17.887307728279485,16.64038001850368,7.791782804623957e-06,7.266035209222483e-06
